"Date","Source","Site ID","POC","Daily Mean PM10 Concentration","UNITS","DAILY_AQI_VALUE","Site Name","DAILY_OBS_COUNT","PERCENT_COMPLETE","AQS_PARAMETER_CODE","AQS_PARAMETER_DESC","CBSA_CODE","CBSA_NAME","STATE_CODE","STATE","COUNTY_CODE","COUNTY","SITE_LATITUDE","SITE_LONGITUDE"
"01/04/2013","AQS","060970001","2","20","ug/m3 SC","19","Cloverdale","1","100.0000","81102","PM10 Total 0-10um STP","42220","Santa Rosa, CA","06","California","097","Sonoma","38.804267","-123.018142"
"01/10/2013","AQS","060970001","2","9","ug/m3 SC","8","Cloverdale","1","100.0000","81102","PM10 Total 0-10um STP","42220","Santa Rosa, CA","06","California","097","Sonoma","38.804267","-123.018142"
"01/16/2013","AQS","060970001","2","24","ug/m3 SC","22","Cloverdale","1","100.0000","81102","PM10 Total 0-10um STP","42220","Santa Rosa, CA","06","California","097","Sonoma","38.804267","-123.018142"
"01/22/2013","AQS","060970001","2","20","ug/m3 SC","19","Cloverdale","1","100.0000","81102","PM10 Total 0-10um STP","42220","Santa Rosa, CA","06","California","097","Sonoma","38.804267","-123.018142"
"01/28/2013","AQS","060970001","2","4","ug/m3 SC","4","Cloverdale","1","100.0000","81102","PM10 Total 0-10um STP","42220","Santa Rosa, CA","06","California","097","Sonoma","38.804267","-123.018142"
"02/03/2013","AQS","060970001","2","10","ug/m3 SC","9","Cloverdale","1","100.0000","81102","PM10 Total 0-10um STP","42220","Santa Rosa, CA","06","California","097","Sonoma","38.804267","-123.018142"
"02/09/2013","AQS","060970001","2","8","ug/m3 SC","7","Cloverdale","1","100.0000","81102","PM10 Total 0-10um STP","42220","Santa Rosa, CA","06","California","097","Sonoma","38.804267","-123.018142"
"02/15/2013","AQS","060970001","2","12","ug/m3 SC","11","Cloverdale","1","100.0000","81102","PM10 Total 0-10um STP","42220","Santa Rosa, CA","06","California","097","Sonoma","38.804267","-123.018142"
"02/21/2013","AQS","060970001","2","4","ug/m3 SC","4","Cloverdale","1","100.0000","81102","PM10 Total 0-10um STP","42220","Santa Rosa, CA","06","California","097","Sonoma","38.804267","-123.018142"
"02/27/2013","AQS","060970001","2","5","ug/m3 SC","5","Cloverdale","1","100.0000","81102","PM10 Total 0-10um STP","42220","Santa Rosa, CA","06","California","097","Sonoma","38.804267","-123.018142"
"03/05/2013","AQS","060970001","2","8","ug/m3 SC","7","Cloverdale","1","100.0000","81102","PM10 Total 0-10um STP","42220","Santa Rosa, CA","06","California","097","Sonoma","38.804267","-123.018142"
"03/11/2013","AQS","060970001","2","7","ug/m3 SC","6","Cloverdale","1","100.0000","81102","PM10 Total 0-10um STP","42220","Santa Rosa, CA","06","California","097","Sonoma","38.804267","-123.018142"
"03/17/2013","AQS","060970001","2","5","ug/m3 SC","5","Cloverdale","1","100.0000","81102","PM10 Total 0-10um STP","42220","Santa Rosa, CA","06","California","097","Sonoma","38.804267","-123.018142"
"03/23/2013","AQS","060970001","2","9","ug/m3 SC","8","Cloverdale","1","100.0000","81102","PM10 Total 0-10um STP","42220","Santa Rosa, CA","06","California","097","Sonoma","38.804267","-123.018142"
"03/29/2013","AQS","060970001","2","10","ug/m3 SC","9","Cloverdale","1","100.0000","81102","PM10 Total 0-10um STP","42220","Santa Rosa, CA","06","California","097","Sonoma","38.804267","-123.018142"
"04/04/2013","AQS","060970001","2","2","ug/m3 SC","2","Cloverdale","1","100.0000","81102","PM10 Total 0-10um STP","42220","Santa Rosa, CA","06","California","097","Sonoma","38.804267","-123.018142"
"04/10/2013","AQS","060970001","2","6","ug/m3 SC","6","Cloverdale","1","100.0000","81102","PM10 Total 0-10um STP","42220","Santa Rosa, CA","06","California","097","Sonoma","38.804267","-123.018142"
"04/16/2013","AQS","060970001","2","4","ug/m3 SC","4","Cloverdale","1","100.0000","81102","PM10 Total 0-10um STP","42220","Santa Rosa, CA","06","California","097","Sonoma","38.804267","-123.018142"
"04/22/2013","AQS","060970001","2","13","ug/m3 SC","12","Cloverdale","1","100.0000","81102","PM10 Total 0-10um STP","42220","Santa Rosa, CA","06","California","097","Sonoma","38.804267","-123.018142"
"04/28/2013","AQS","060970001","2","10","ug/m3 SC","9","Cloverdale","1","100.0000","81102","PM10 Total 0-10um STP","42220","Santa Rosa, CA","06","California","097","Sonoma","38.804267","-123.018142"
"05/04/2013","AQS","060970001","2","19","ug/m3 SC","18","Cloverdale","1","100.0000","81102","PM10 Total 0-10um STP","42220","Santa Rosa, CA","06","California","097","Sonoma","38.804267","-123.018142"
"05/10/2013","AQS","060970001","2","6","ug/m3 SC","6","Cloverdale","1","100.0000","81102","PM10 Total 0-10um STP","42220","Santa Rosa, CA","06","California","097","Sonoma","38.804267","-123.018142"
"05/16/2013","AQS","060970001","2","3","ug/m3 SC","3","Cloverdale","1","100.0000","81102","PM10 Total 0-10um STP","42220","Santa Rosa, CA","06","California","097","Sonoma","38.804267","-123.018142"
"05/22/2013","AQS","060970001","2","6","ug/m3 SC","6","Cloverdale","1","100.0000","81102","PM10 Total 0-10um STP","42220","Santa Rosa, CA","06","California","097","Sonoma","38.804267","-123.018142"
"05/28/2013","AQS","060970001","2","2","ug/m3 SC","2","Cloverdale","1","100.0000","81102","PM10 Total 0-10um STP","42220","Santa Rosa, CA","06","California","097","Sonoma","38.804267","-123.018142"
"06/03/2013","AQS","060970001","2","12","ug/m3 SC","11","Cloverdale","1","100.0000","81102","PM10 Total 0-10um STP","42220","Santa Rosa, CA","06","California","097","Sonoma","38.804267","-123.018142"
"06/09/2013","AQS","060970001","2","3","ug/m3 SC","3","Cloverdale","1","100.0000","81102","PM10 Total 0-10um STP","42220","Santa Rosa, CA","06","California","097","Sonoma","38.804267","-123.018142"
"06/15/2013","AQS","060970001","2","9","ug/m3 SC","8","Cloverdale","1","100.0000","81102","PM10 Total 0-10um STP","42220","Santa Rosa, CA","06","California","097","Sonoma","38.804267","-123.018142"
"06/21/2013","AQS","060970001","2","6","ug/m3 SC","6","Cloverdale","1","100.0000","81102","PM10 Total 0-10um STP","42220","Santa Rosa, CA","06","California","097","Sonoma","38.804267","-123.018142"
"06/27/2013","AQS","060970001","2","5","ug/m3 SC","5","Cloverdale","1","100.0000","81102","PM10 Total 0-10um STP","42220","Santa Rosa, CA","06","California","097","Sonoma","38.804267","-123.018142"
"07/03/2013","AQS","060970001","2","14","ug/m3 SC","13","Cloverdale","1","100.0000","81102","PM10 Total 0-10um STP","42220","Santa Rosa, CA","06","California","097","Sonoma","38.804267","-123.018142"
"07/09/2013","AQS","060970001","2","9","ug/m3 SC","8","Cloverdale","1","100.0000","81102","PM10 Total 0-10um STP","42220","Santa Rosa, CA","06","California","097","Sonoma","38.804267","-123.018142"
