Date,Source,Site ID,POC,Daily Mean PM10 Concentration,UNITS,DAILY_AQI_VALUE,Site Name,DAILY_OBS_COUNT,PERCENT_COMPLETE,AQS_PARAMETER_CODE,AQS_PARAMETER_DESC,CBSA_CODE,CBSA_NAME,STATE_CODE,STATE,COUNTY_CODE,COUNTY,SITE_LATITUDE,SITE_LONGITUDE
01-06-2015,AQS,60130002,1,22,ug/m3 SC,20,Concord,1,100,81102,PM10 Total 0-10um STP,41860,"San Francisco-Oakland-Hayward, CA",6,California,13,Contra Costa,37.936013,-122.026154
01/18/2015,AQS,60130002,1,16,ug/m3 SC,15,Concord,1,100,81102,PM10 Total 0-10um STP,41860,"San Francisco-Oakland-Hayward, CA",6,California,13,Contra Costa,37.936013,-122.026154
01/30/2015,AQS,60130002,1,12,ug/m3 SC,11,Concord,1,100,81102,PM10 Total 0-10um STP,41860,"San Francisco-Oakland-Hayward, CA",6,California,13,Contra Costa,37.936013,-122.026154
02-11-2015,AQS,60130002,1,1,ug/m3 SC,1,Concord,1,100,81102,PM10 Total 0-10um STP,41860,"San Francisco-Oakland-Hayward, CA",6,California,13,Contra Costa,37.936013,-122.026154
02/23/2015,AQS,60130002,1,13,ug/m3 SC,12,Concord,1,100,81102,PM10 Total 0-10um STP,41860,"San Francisco-Oakland-Hayward, CA",6,California,13,Contra Costa,37.936013,-122.026154
03-07-2015,AQS,60130002,1,16,ug/m3 SC,15,Concord,1,100,81102,PM10 Total 0-10um STP,41860,"San Francisco-Oakland-Hayward, CA",6,California,13,Contra Costa,37.936013,-122.026154
03/19/2015,AQS,60130002,1,14,ug/m3 SC,13,Concord,1,100,81102,PM10 Total 0-10um STP,41860,"San Francisco-Oakland-Hayward, CA",6,California,13,Contra Costa,37.936013,-122.026154
03/31/2015,AQS,60130002,1,9,ug/m3 SC,8,Concord,1,100,81102,PM10 Total 0-10um STP,41860,"San Francisco-Oakland-Hayward, CA",6,California,13,Contra Costa,37.936013,-122.026154
04-12-2015,AQS,60130002,1,6,ug/m3 SC,6,Concord,1,100,81102,PM10 Total 0-10um STP,41860,"San Francisco-Oakland-Hayward, CA",6,California,13,Contra Costa,37.936013,-122.026154
04/24/2015,AQS,60130002,1,10,ug/m3 SC,9,Concord,1,100,81102,PM10 Total 0-10um STP,41860,"San Francisco-Oakland-Hayward, CA",6,California,13,Contra Costa,37.936013,-122.026154
05-06-2015,AQS,60130002,1,21,ug/m3 SC,19,Concord,1,100,81102,PM10 Total 0-10um STP,41860,"San Francisco-Oakland-Hayward, CA",6,California,13,Contra Costa,37.936013,-122.026154
05/18/2015,AQS,60130002,1,9,ug/m3 SC,8,Concord,1,100,81102,PM10 Total 0-10um STP,41860,"San Francisco-Oakland-Hayward, CA",6,California,13,Contra Costa,37.936013,-122.026154
05/30/2015,AQS,60130002,1,7,ug/m3 SC,6,Concord,1,100,81102,PM10 Total 0-10um STP,41860,"San Francisco-Oakland-Hayward, CA",6,California,13,Contra Costa,37.936013,-122.026154
06-11-2015,AQS,60130002,1,10,ug/m3 SC,9,Concord,1,100,81102,PM10 Total 0-10um STP,41860,"San Francisco-Oakland-Hayward, CA",6,California,13,Contra Costa,37.936013,-122.026154
06/23/2015,AQS,60130002,1,19,ug/m3 SC,18,Concord,1,100,81102,PM10 Total 0-10um STP,41860,"San Francisco-Oakland-Hayward, CA",6,California,13,Contra Costa,37.936013,-122.026154
07-05-2015,AQS,60130002,1,3,ug/m3 SC,3,Concord,1,100,81102,PM10 Total 0-10um STP,41860,"San Francisco-Oakland-Hayward, CA",6,California,13,Contra Costa,37.936013,-122.026154
07/17/2015,AQS,60130002,1,10,ug/m3 SC,9,Concord,1,100,81102,PM10 Total 0-10um STP,41860,"San Francisco-Oakland-Hayward, CA",6,California,13,Contra Costa,37.936013,-122.026154
07/29/2015,AQS,60130002,1,16,ug/m3 SC,15,Concord,1,100,81102,PM10 Total 0-10um STP,41860,"San Francisco-Oakland-Hayward, CA",6,California,13,Contra Costa,37.936013,-122.026154
08-10-2015,AQS,60130002,1,7,ug/m3 SC,6,Concord,1,100,81102,PM10 Total 0-10um STP,41860,"San Francisco-Oakland-Hayward, CA",6,California,13,Contra Costa,37.936013,-122.026154
08/22/2015,AQS,60130002,1,15,ug/m3 SC,14,Concord,1,100,81102,PM10 Total 0-10um STP,41860,"San Francisco-Oakland-Hayward, CA",6,California,13,Contra Costa,37.936013,-122.026154
09-03-2015,AQS,60130002,1,15,ug/m3 SC,14,Concord,1,100,81102,PM10 Total 0-10um STP,41860,"San Francisco-Oakland-Hayward, CA",6,California,13,Contra Costa,37.936013,-122.026154
09/15/2015,AQS,60130002,1,9,ug/m3 SC,8,Concord,1,100,81102,PM10 Total 0-10um STP,41860,"San Francisco-Oakland-Hayward, CA",6,California,13,Contra Costa,37.936013,-122.026154
09/27/2015,AQS,60130002,1,16,ug/m3 SC,15,Concord,1,100,81102,PM10 Total 0-10um STP,41860,"San Francisco-Oakland-Hayward, CA",6,California,13,Contra Costa,37.936013,-122.026154
10-09-2015,AQS,60130002,1,13,ug/m3 SC,12,Concord,1,100,81102,PM10 Total 0-10um STP,41860,"San Francisco-Oakland-Hayward, CA",6,California,13,Contra Costa,37.936013,-122.026154
10/21/2015,AQS,60130002,1,14,ug/m3 SC,13,Concord,1,100,81102,PM10 Total 0-10um STP,41860,"San Francisco-Oakland-Hayward, CA",6,California,13,Contra Costa,37.936013,-122.026154
11-02-2015,AQS,60130002,1,5,ug/m3 SC,5,Concord,1,100,81102,PM10 Total 0-10um STP,41860,"San Francisco-Oakland-Hayward, CA",6,California,13,Contra Costa,37.936013,-122.026154
11/14/2015,AQS,60130002,1,21,ug/m3 SC,19,Concord,1,100,81102,PM10 Total 0-10um STP,41860,"San Francisco-Oakland-Hayward, CA",6,California,13,Contra Costa,37.936013,-122.026154
11/26/2015,AQS,60130002,1,9,ug/m3 SC,8,Concord,1,100,81102,PM10 Total 0-10um STP,41860,"San Francisco-Oakland-Hayward, CA",6,California,13,Contra Costa,37.936013,-122.026154
12-08-2015,AQS,60130002,1,16,ug/m3 SC,15,Concord,1,100,81102,PM10 Total 0-10um STP,41860,"San Francisco-Oakland-Hayward, CA",6,California,13,Contra Costa,37.936013,-122.026154
12/20/2015,AQS,60130002,1,4,ug/m3 SC,4,Concord,1,100,81102,PM10 Total 0-10um STP,41860,"San Francisco-Oakland-Hayward, CA",6,California,13,Contra Costa,37.936013,-122.026154
01-06-2015,AQS,60131002,1,31,ug/m3 SC,29,Bethel Island,1,100,81102,PM10 Total 0-10um STP,41860,"San Francisco-Oakland-Hayward, CA",6,California,13,Contra Costa,38.006311,-121.641918
01/18/2015,AQS,60131002,1,16,ug/m3 SC,15,Bethel Island,1,100,81102,PM10 Total 0-10um STP,41860,"San Francisco-Oakland-Hayward, CA",6,California,13,Contra Costa,38.006311,-121.641918
01/30/2015,AQS,60131002,1,13,ug/m3 SC,12,Bethel Island,1,100,81102,PM10 Total 0-10um STP,41860,"San Francisco-Oakland-Hayward, CA",6,California,13,Contra Costa,38.006311,-121.641918
02-11-2015,AQS,60131002,1,9,ug/m3 SC,8,Bethel Island,1,100,81102,PM10 Total 0-10um STP,41860,"San Francisco-Oakland-Hayward, CA",6,California,13,Contra Costa,38.006311,-121.641918
02/23/2015,AQS,60131002,1,12,ug/m3 SC,11,Bethel Island,1,100,81102,PM10 Total 0-10um STP,41860,"San Francisco-Oakland-Hayward, CA",6,California,13,Contra Costa,38.006311,-121.641918
03-07-2015,AQS,60131002,1,20,ug/m3 SC,19,Bethel Island,1,100,81102,PM10 Total 0-10um STP,41860,"San Francisco-Oakland-Hayward, CA",6,California,13,Contra Costa,38.006311,-121.641918
03/19/2015,AQS,60131002,1,13,ug/m3 SC,12,Bethel Island,1,100,81102,PM10 Total 0-10um STP,41860,"San Francisco-Oakland-Hayward, CA",6,California,13,Contra Costa,38.006311,-121.641918
03/31/2015,AQS,60131002,1,8,ug/m3 SC,7,Bethel Island,1,100,81102,PM10 Total 0-10um STP,41860,"San Francisco-Oakland-Hayward, CA",6,California,13,Contra Costa,38.006311,-121.641918
